"assessid","stockid","mgmt","assessor","years","year","method","method1","method2","country","region","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","msy_true","b0_true","msy_true_units","b0_true_units","tl_nyrs","tl_avg","tl_units","tc_nyrs","tc_avg","tc_units","catch_type","catch_nyrs","catch_avg","catch_units","r_nyrs","r_avg","r_units","ssb_nyrs","ssb_avg","ssb_units","tb_nyrs","tb_avg","tb_units","tn_nyrs","tn_avg","tn_units","sp_model"
"FAO-DRSS-BRMSPPWASG3-1995-2007-CHING","BRMSPPWASG3","FAO","FAO-DRSS","1995-2007",2007,"Biomass dynamics model","DPM","Dynamic production model","multinational","West Africa","West Africa Subgroup 3","multinational-FAO-SG3","Seabream West Africa Subgroup 3
","Perciformes","Actinopterygii","Sparidae","Dentex","Dentex spp","Dentex spp","Seabream",NA,NA,NA,NA,0,NA,NA,13,6794.61538461538,"MT","tc",13,6794.61538461538,"MT",0,NA,NA,0,NA,NA,13,282.615384615385,"index",0,NA,NA,NA
"SEFSC-BRNSHRIMPGM-1984-2011-HIVELY","BRNSHRIMPGM","NMFS","SEFSC","1984-2011",2011,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Brown shrimp Gulf of Mexico","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","Farfantepenaeus aztecus","Farfantepenaeus aztecus","Brown shrimp",NA,NA,NA,NA,0,NA,NA,28,35685.7142857143,"MT","tc",28,35685.7142857143,"MT",28,37539285714.2857,"E00",28,22585.7142857143,"MT",0,NA,NA,0,NA,NA,NA
"NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","BSBASSMATLC","NMFS","NEFSC","1968-2007",2007,"Statistical catch at age model","SCALE","A statistical catch-at-length model","USA","US East Coast","Mid-Atlantic Coast","USA-NMFS-MATLC","Black sea bass Mid-Atlantic Coast","Actinopterygii","Perciformes","Serranidae","Centropristis","Centropristis striata","Centropristis striata","Black sea bass",3903,NA,"MT",NA,40,2810.25,"MT",40,3130,"MT","tc",40,3130,"MT",39,28005128.2051282,"E00",40,8943.25,"MT",40,10292,"MT",0,NA,NA,"yes"
"SEFSC-BSBASSSATL-1950-2010-HIVELY","BSBASSSATL","NMFS","SEFSC","1950-2010",2010,"Statistical catch at age model","BAM","Beaufort assessment model","USA","US Southeast and Gulf","South Atlantic","USA-NMFS-SATL","Black sea bass South Atlantic","Actinopterygii","Perciformes","Serranidae","Centropristis","Centropristis striata","Centropristis striata","Black sea bass",801.5,NA,"MT",NA,61,550.516393442623,"MT",0,NA,NA,"tl",61,550.516393442623,"MT",0,NA,NA,33,2042727272727.27,"E00eggs",33,4612.12121212121,"MT",0,NA,NA,"yes"
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","NMFS","NEFSC","1963-2005",2005,"Survey index","Survey indices","Temporal indices derived from scientific survey data","USA","US East Coast","Gulf of Maine / Georges Bank-Southern New England","USA-NMFS-5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus laevis","Dipturus laevis","Barndoor skate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DFO-MAR-BSKATCANATL-1970-1987-PREFONTAINE","BSKATCANATL","DFO","DFO-MAR","1970-1987",1987,"Survey index","Survey indices","Temporal indices derived from scientific survey data","Canada","Canada East Coast","Canadian Atlantic Ocean","Canada-DFO-ATL","Barndoor skate Canadian Atlantic Ocean","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus laevis","Dipturus laevis","Barndoor skate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IFOP-BSQLOBSTERCH-1979-2012-CHING","BSQLOBSTERCH","SPRFMO","IFOP","1979-2012",2012,"Unknown","unknown","Unknown","multinational","South America","Chilean EEZ and offshore","multinational-SPRFMO-CH","Blue Squat Lobster Chilean","Malacostraca","Decapoda","Galatheidae","Cervimunida","Cervimunida johni","Cervimunida Johni","Blue squat lobster",NA,NA,NA,NA,34,3380.5,"MT",0,NA,NA,"tl",34,3380.5,"MT",0,NA,NA,34,9359.41176470588,"MT",34,34311.7647058823,"MT",0,NA,NA,"yes"
"SEFSC-BTIPSHARATL-1981-2004-FAUCONNET","BTIPSHARATL","NMFS","SEFSC","1981-2004",2004,"Biomass dynamics model","SPASM","State-space age-stuctured production model","USA","Atlantic Ocean","Atlantic","USA-NMFS-ATL","Blacktip shark Atlantic","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus","Carcharhinus limbatus","Blacktip shark",14900,NA,"MT",NA,0,NA,NA,24,45579.1666666667,"E00","tc",24,45579.1666666667,"E00",0,NA,NA,24,18387500,"E00",0,NA,NA,24,50666666.6666667,"E00",NA
"SEFSC-BTIPSHARGM-1981-2010-HIVELY","BTIPSHARGM","NMFS","SEFSC","1981-2010",2010,"Biomass dynamics model","SPASM","State-space age-stuctured production model","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Blacktip shark Gulf of Mexico","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus","Carcharhinus limbatus","Blacktip shark",1340000,NA,"E00",NA,0,NA,NA,30,162596.666666667,"E00","tc",30,162596.666666667,"E00",0,NA,NA,30,15776666.6666667,"E00",0,NA,NA,30,24140000,"E00",NA
"CSIRO-BTSHRIMPNAUST-1970-2006-FULTON","BTSHRIMPNAUST","AFMA","CSIRO","1970-2006",2006,"Biomass dynamics model","Delay difference","Delay difference model","Australia","Australia","Northern Australia","Australia-AFMA-NAUST","Northern Australia brown tiger shrimp","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus esculentus","Penaeus esculentus","Brown tiger shrimp",NA,NA,NA,NA,37,1310.72972972973,"MT",0,NA,NA,"tl",37,1310.72972972973,"MT",37,274.756756756757,"relative",37,1.8262972972973,"relative",0,NA,NA,0,NA,NA,NA
"NEFSC-BUTTERGOMCHATT-1965-2012-HIVELY","BUTTERGOMCHATT","NMFS","NEFSC","1965-2012",2012,"Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","US East Coast","Gulf of Maine / Cape Hatteras","USA-NMFS-5YCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras","Actinopterygii","Perciformes","Stromateidae","Peprilus","Peprilus triacanthus","Peprilus triacanthus","Atlantic butterfish",NA,NA,NA,NA,0,NA,NA,48,11697.4583333333,"MT","tc",48,11697.4583333333,"MT",24,8513333333.33333,"E00",24,79420.8333333333,"MT",0,NA,NA,0,NA,NA,NA
"IFOP-BWHITCH-1979-2012-CHING","BWHITCH","SPRFMO","IFOP","1979-2012",2012,"Unknown","unknown","Unknown","multinational","South America","Chilean EEZ and offshore","multinational-SPRFMO-CH","Blue Whiting Chile","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","Micromesistius poutassou","Blue whiting",NA,NA,NA,NA,33,17072.7272727273,"MT",0,NA,NA,"tl",33,17072.7272727273,"MT",23,255478.260869565,"E00",22,734772.727272727,"MT",22,940454.545454545,"MT",0,NA,NA,"yes"
"STECF-BWHITMEDGSA1-2002-2011-OSIO","BWHITMEDGSA1","GFCM","STECF","2002-2011",2011,"VPA","VIT","Package based on LCA and Y/R analysis adapted to Mediterranean fisheries; Lleonart and Salat, 1992","multinational","Mediterranean-Black Sea","Northern Alboran Sea","multinational-GFCM-GSA1","Blue whiting Northern Alboran Sea","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","Micromesistius poutassou","Blue whiting",NA,NA,NA,NA,0,NA,NA,10,1049.3,"MT","tc",10,1049.3,"MT",3,31900000,"E00",3,635.333333333333,"MT",0,NA,NA,0,NA,NA,NA
"STECF-BWHITMEDGSA6-2009-2013-OSIO","BWHITMEDGSA6","GFCM","STECF","2009-2013",2013,"VPA","XSA","Extended Survivor Analysis","multinational","Mediterranean-Black Sea","Northern Spain","multinational-GFCM-GSA6","Blue whiting Northern Spain","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","Micromesistius poutassou","Blue whiting",NA,NA,NA,NA,0,NA,NA,5,1328,"MT","tc",5,1328,"MT",5,118520000,"E00",5,440.2,"MT",0,NA,NA,0,NA,NA,NA
"STECF-BWHITMEDGSA9-2009-2013-OSIO","BWHITMEDGSA9","GFCM","STECF","2009-2013",2013,"VPA","XSA","Extended Survivor Analysis","multinational","Mediterranean-Black Sea","Ligurian and North Tyrrhenian Sea","multinational-GFCM-GSA9","Blue whiting Ligurian and North Tyrrhenian Sea","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","Micromesistius poutassou","Blue whiting",NA,NA,NA,NA,0,NA,NA,5,108.68,"MT","tc",5,108.68,"MT",5,7610000,"E00",5,256.8,"MT",0,NA,NA,0,NA,NA,NA
"WGNPBW-BWHITNEA-1980-2012-CHING","BWHITNEA","ICES","WGNPBW","1980-2012",2012,"Statistical catch at age model","SAM","SAM","multinational","Europe (EU)","Northeast Atlantic","multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV","Blue Whiting Northeast Atlantic","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","Micromesistius poutassou","Blue whiting",NA,NA,NA,NA,31,974709.677419355,"MT",0,NA,NA,"tl",31,974709.677419355,"MT",32,17992500000,"E00",32,3328125,"MT",32,5156875,"MT",0,NA,NA,"yes"
"PFMC-CABEZNCAL-1930-2009-CHING","CABEZNCAL","NMFS","PFMC","1930-2009",2009,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","USA","US West Coast","Northern California","USA-NMFS-NCAL","Cabezon Northern California","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus","Scorpaenichthys marmoratus","Cabezon",129,1036,"MT","MT",10,51.16,"MT",36,36.75,"MT","tc",36,36.75,"MT",80,820.075,"E00",50,619.24,"MT",37,641.216216216216,"MT",0,NA,NA,"yes"
"NWFSC-CABEZORECOAST-1973-2009-STACHURA","CABEZORECOAST","NMFS","NWFSC","1973-2009",2009,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","USA","US West Coast","Oregon Coast","USA-NMFS-ORECOAST","Cabezon Oregon Coast","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus","Scorpaenichthys marmoratus","Cabezon",48,409,"MT","MT",36,28.21,"MT",36,28.5405555555556,"MT","tc",36,28.5405555555556,"MT",37,177505.405405405,"E00",37,293.216216216216,"MT",37,613.378378378378,"MT",0,NA,NA,"yes"
"PFMC-CABEZSCAL-1930-2009-CHING","CABEZSCAL","NMFS","PFMC","1930-2009",2009,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","USA","US West Coast","Southern California","USA-NMFS-SCAL","Cabezon Southern California","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus","Scorpaenichthys marmoratus","Cabezon",30,263,"MT","MT",10,8.64,"MT",59,91.8474576271186,"MT","tc",59,91.8474576271186,"MT",80,194.4875,"E00",50,146.96,"MT",60,996.166666666667,"MT",0,NA,NA,"yes"
"SWFSC-CALSCORPSCAL-1990-2005-STANTON","CALSCORPSCAL","NMFS","SWFSC","1990-2005",2005,"Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","USA","US West Coast","Southern California","USA-NMFS-SCAL","California scorpionfish Southern California","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena","Scorpaena guttata","Scorpaena guttata","California scorpionfish",127,1024,"MT","MT",10,158.1,"MT",0,NA,NA,"tl",10,158.1,"MT",10,2729000,"E00",11,659.818181818182,"MT",11,1717.27272727273,"MT",0,NA,NA,NA
"DFO-CAPE4RST-1960-2012-WATSON","CAPE4RST","DFO","DFO","1960-2012",2012,"Unknown","unknown","Unknown","Canada","Canada East Coast","Gulf of St. Lawrence","Canada-DFO-4RST","Capelin Gulf of St. Lawrence","Actinopterygii","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","Mallotus villosus","Capelin",NA,NA,NA,NA,53,4294.2641509434,"MT",0,NA,NA,"tl",53,4294.2641509434,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"NWWG-CAPEICE-1977-2010-NEUBAUER","CAPEICE","ICES","NWWG","1977-2010",2010,"Survey index","Acoustic","acoustic surveys","multinational","Europe (non-EU)","Iceland Grounds","multinational-ICES-Va","Capelin Iceland","Actinopterygii","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","Mallotus villosus","Capelin",NA,NA,NA,NA,32,876781.25,"MT",0,NA,NA,"tl",32,876781.25,"MT",32,125156250000,"E00",32,428656.25,"MT",0,NA,NA,0,NA,NA,NA
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","ICES","AFWG","1965-2007",2007,"Unknown","CapTool","Spreadsheet assessment model used for Capelin","multinational","Europe (non-EU)","Barents Sea","multinational-ICES-I","Capelin Barents Sea","Actinopterygii","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","Mallotus villosus","Capelin",NA,NA,NA,NA,42,824500,"MT",0,NA,NA,"tl",42,824500,"MT",34,320264705882.353,"E00",27,216000,"MT",35,3392228.57142857,"MT",0,NA,NA,"yes"
"FAO-DRSS-CATWASG1-1994-2008-CHING","CATWASG1","FAO","FAO-DRSS","1994-2008",2008,"Biomass dynamics model","DPM","Dynamic production model","multinational","West Africa","West Africa Subgroup 1","multinational-FAO-SG1","Catfish West Africa Subgroup 1","Siluriformes","Actinopterygii","Ariidae","Arius","Arius spp","Arius spp","Catfish",NA,NA,NA,NA,0,NA,NA,14,5988.28571428571,"MT","tc",14,5988.28571428571,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"FAO-DRSS-CATWASG3-1995-2007-CHING","CATWASG3","FAO","FAO-DRSS","1995-2007",2007,"Biomass dynamics model","DPM","Dynamic production model","multinational","West Africa","West Africa Subgroup 3","multinational-FAO-SG3","Catfish West Africa Subgroup 3","Siluriformes","Actinopterygii","Ariidae","Arius","Arius spp","Arius spp","Catfish",NA,NA,NA,NA,0,NA,NA,13,832.769230769231,"MT","tc",13,832.769230769231,"MT",0,NA,NA,0,NA,NA,13,34.6461538461538,"index",0,NA,NA,NA
"MARAM-CHAKESA-1917-2015-Rademeyer","CHAKESA","DETMCM","MARAM","1917-2015",2015,"Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","South Africa","South Africa","South Africa","South Africa-DETMCM-SA","Shallow-water cape hake South Africa","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius capensis","Merluccius capensis","Shallow-water cape hake",62800,223800,"MT","MT",99,36393.9393939394,"MT",99,36393.9393939394,"MT","tc",99,36393.9393939394,"MT",99,1294757575.75758,"E00",99,139728.282828283,"MT",99,473878.787878788,"MT",0,NA,NA,"yes"
"IFOP-CHERRCHVX-1960-2012-CHING","CHERRCHVX","SPRFMO","IFOP","1960-2012",2012,"Unknown","unknown","Unknown","multinational","South America","Chilean EEZ and offshore region V-X","multinational-SPRFMO-V-X","Chilean Herring Chile Region V-X","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea bentincki","Clupea bentincki","Chilean herring",NA,NA,NA,NA,52,218725,"MT",0,NA,NA,"tl",52,218725,"MT",22,32257272727.2727,"E00",22,704927.272727273,"MT",22,1758136.36363636,"MT",0,NA,NA,"yes"
"NWFSC-CHILISPCOAST-1892-2007-BRANCH","CHILISPCOAST","NMFS","NWFSC","1892-2007",2007,"Integrated Analysis","SS2","Stock Synthesis v2.0 model","USA","US West Coast","Southern Pacific Coast","USA-NMFS-SPCOAST","Chilipepper Southern Pacific Coast","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes goodei","Sebastes goodei","Chilipepper rockfish",2164,33390,"MT","MT",0,NA,NA,115,1127.94782608696,"MT","tc",115,1127.94782608696,"MT",116,31408362.0689655,"E00",116,24887.0689655172,"MT",116,37168.1034482759,"MT",0,NA,NA,"yes"
"FAO-SPNWA-CHMACKWA-1990-2010-CHING","CHMACKWA","FAO","FAO-SPNWA","1990-2010",2010,"Biomass dynamics model","DPM","Dynamic production model","multinational","West Africa","West Africa","multinational-FAO-WA","Cunene Horse Mackerel West Africa","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus trecae","Trachurus trecae","Cunene horse mackerel",NA,NA,NA,NA,0,NA,NA,21,176519.047619048,"MT","tc",21,176519.047619048,"MT",0,NA,NA,0,NA,NA,20,177615,"MT",0,NA,NA,"yes"
"MARAM-CHSQUIDSA-1971-2013-GLAZER","CHSQUIDSA","DETMCM","MARAM","1971-2013",2013,"Unknown","unknown","Unknown","South Africa","South Africa","South Africa","South Africa-DETMCM-SA","Cape Hope squid South Africa","Teuthida","Cephalopoda","Loliginidae","Loligo","Loligo reynaudii","Loligo reynaudii","Cape Hope squid",NA,NA,NA,NA,42,5924.57142857143,"MT",42,5924.57142857143,"MT","tc",42,5924.57142857143,"MT",42,29350,"MT",43,37697.6744186046,"MT",43,37697.6744186046,"MT",0,NA,NA,"yes"
"IFOP-CHTRACCH-1950-2010-RICARD","CHTRACCH","SPRFMO","IFOP","1950-2010",2010,"Integrated Analysis","JJM","Joint Jack Mackerel","multinational","South America","Chilean EEZ and offshore","multinational-SPRFMO-CH","Chilean jack mackerel Chilean EEZ and offshore","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus murphyi","Trachurus murphyi","Chilean jack mackerel",NA,NA,NA,NA,61,1281278.68852459,"MT",0,NA,NA,"tl",61,1281278.68852459,"MT",41,17290487804878,"E00",53,9216528.30188679,"MT",41,13958780.4878049,"MT",0,NA,NA,"yes"
"SWFSC-CMACKPCOAST-1929-2008-PINSKY","CMACKPCOAST","NMFS","SWFSC","1929-2008",2008,"Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","US West Coast","Pacific Coast","USA-NMFS-PCOAST","Pacific chub mackerel Pacific Coast","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","Scomber japonicus","Chub mackerel",23048.2,182791,"MT","MT",80,25257.1625,"MT",80,25257.1625,"MT","tc",80,25257.1625,"MT",79,701768354.43038,"E00",80,204440,"MT",0,NA,NA,0,NA,NA,NA
"FAJ-CMACKPJPN-1970-2009-ONO","CMACKPJPN","FAFRFJ","FAJ","1970-2009",2009,"VPA","VPA","Virtual Population Analysis","Japan","Russia Japan","Pacific Coast of Japan","Japan-FAFRFJ-PJPN","Chub mackerel Pacific Coast of Japan","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","Scomber japonicus","Chub mackerel",NA,NA,NA,NA,0,NA,NA,40,424975,"MT","tc",40,424975,"MT",40,3486100000,"E00",40,450525,"MT",40,1556425,"MT",0,NA,NA,"yes"
"FAJ-CMACKTSST-1973-2014-KUROTA","CMACKTSST","FAFRFJ","FAJ","1973-2014",2014,"VPA","VPA","Virtual Population Analysis","Japan","Russia Japan","Tsushima Strait","Japan-FAFRFJ-TSST","Chub mackerel Tsushima Strait","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","Scomber japonicus","Chub mackerel",NA,NA,NA,NA,42,318261.904761905,"MT",42,318261.904761905,"MT","tc",42,318261.904761905,"MT",42,1594404761.90476,"E00",42,276738.095238095,"MT",42,819500,"MT",0,NA,NA,"yes"
"FAO-SPNWA-CMACKWA-1990-2010-CHING","CMACKWA","FAO","FAO-SPNWA","1990-2010",2010,"Biomass dynamics model","LPM","Logistic production model","multinational","West Africa","West Africa","multinational-FAO-WA","Chub Mackerel West Africa","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","Scomber japonicus","Chub mackerel",NA,NA,NA,NA,0,NA,NA,21,178400,"MT","tc",21,178400,"MT",0,NA,NA,0,NA,NA,12,426250,"MT",0,NA,NA,NA
"DFO-COD2J3KL-1959-2014-WATSON","COD2J3KL","DFO","DFO","1959-2014",2014,"Survey index","SURBA","Survey based stock assessment method","Canada","Canada East Coast","Southern Labrador-Eastern Newfoundland","Canada-DFO-2J3KL","Atlantic cod NAFO 2J3KL","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",NA,NA,NA,NA,56,216754.696428571,"MT",0,NA,NA,"tl",56,216754.696428571,"MT",0,NA,NA,23,39405.652173913,"MT",23,86761.3043478261,"MT",23,114934782.608696,"E00","yes"
"NAFO-SC-COD3M-1960-2012-CHING","COD3M","NAFO","NAFO-SC","1960-2012",2012,"Unknown","unknown","Unknown","multinational","Canada East Coast","Flemish Cap","multinational-NAFO-3M","Atlantic cod NAFO 3M","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",NA,NA,NA,NA,0,NA,NA,52,17880.9423076923,"MT","tc",52,17880.9423076923,"MT",24,12553.2625,"E00",25,13596.4,"MT",24,27710,"MT",0,NA,NA,"yes"
"NAFO-SC-COD3NO-1953-2011-CHING","COD3NO","NAFO","NAFO-SC","1953-2011",2011,"Unknown","unknown","Unknown","multinational","Canada East Coast","Southern Grand Banks","multinational-NAFO-3NO","Atlantic cod NAFO 3NO","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",NA,NA,NA,NA,0,NA,NA,59,45351.5084745763,"MT","tc",59,45351.5084745763,"MT",0,NA,NA,0,NA,NA,28,28106.4285714286,"MT",0,NA,NA,"yes"
"DFO-COD3Pn4RS-1964-2015-WATSON","COD3Pn4RS","DFO","DFO","1964-2015",2015,"VPA","SPA-ADAPT","Sequential Population Analysis / ADAPT","Canada","Canada East Coast","Northern Gulf of St. Lawrence","Canada-DFO-3Pn4RS","Atlantic cod NAFO 3Pn4RS","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",NA,NA,NA,NA,51,44016.0980392157,"MT",0,NA,NA,"tl",51,44016.0980392157,"MT",0,NA,NA,42,93836.6666666667,"MT",42,145519.047619048,"MT",42,203957142.857143,"E00","yes"
"DFO-COD3Ps-1980-2014-WATSON","COD3Ps","DFO","DFO","1980-2014",2014,"Survey index","SURBA","Survey based stock assessment method","Canada","Canada East Coast","St. Pierre Bank","Canada-DFO-3Ps","Atlantic cod NAFO 3Ps","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",NA,NA,NA,NA,0,NA,NA,35,23190.0571428571,"MT","tc",35,23190.0571428571,"MT",0,NA,NA,0,NA,NA,31,64729.3548387097,"MT",31,68806451.6129032,"E00","yes"
"DFO-COD4TVn-1965-2015-WATSON","COD4TVn","DFO","DFO","1965-2015",2015,"Statistical catch at age model","SCA","Statistical catch-at-age model","Canada","Canada East Coast","Southern Gulf of St. Lawrence","Canada-DFO-4T","Atlantic cod NAFO 4TVn","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",NA,NA,NA,NA,50,31410.24,"MT",0,NA,NA,"tl",50,31410.24,"MT",0,NA,NA,45,154015.555555556,"MT",0,NA,NA,45,586800000,"E00",NA
"DFO-MAR-COD4VsW-1958-2002-PREFONTAINE","COD4VsW","DFO","DFO-MAR","1958-2002",2002,"Unknown","unknown","Unknown","Canada","Canada East Coast","Eastern Scotian Shelf","Canada-DFO-4VsW","Atlantic cod NAFO 4VsW","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",NA,NA,NA,NA,0,NA,NA,45,38684.9333333333,"MT","tc",45,38684.9333333333,"MT",0,NA,NA,33,51563.3333333333,"MT",0,NA,NA,0,NA,NA,NA
"DFO-COD4X5Yb-1948-2009-WATSON","COD4X5Yb","DFO","DFO","1948-2009",2009,"VPA","VPA","Virtual Population Analysis","Canada","Canada East Coast","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Canada-DFO-4X5Yb","Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",NA,NA,NA,NA,62,17998.3870967742,"MT",0,NA,NA,"tl",62,17998.3870967742,"MT",0,NA,NA,29,42310.3448275862,"MT",0,NA,NA,61,28031147.5409836,"E00",NA
"DFO-COD5Zjm-1978-2010-WATSON","COD5Zjm","DFO","DFO","1978-2010",2010,"VPA","VPA","Virtual Population Analysis","Canada","US East Coast","Georges Bank","Canada-DFO-5Zjm","Atlantic cod NAFO 5Zjm","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",NA,NA,NA,NA,32,10005.9375,"MT",32,6194.65625,"MT","tc",32,6194.65625,"MT",0,NA,NA,33,25519.0909090909,"MT",0,NA,NA,33,8004545.45454545,"E00",NA
"WGBFAS-CODBA2224-1965-2012-CHING","CODBA2224","ICES","WGBFAS","1965-2012",2012,"Statistical catch at age model","SAM","SAM","multinational","Europe (EU)","Western Baltic","multinational-ICES-22-24","Atlantic cod Baltic Areas 22 and 24","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",23000,NA,"MT",NA,47,35363.829787234,"MT",0,NA,NA,"tl",47,35363.829787234,"MT",43,83416279.0697674,"E00",43,32276.7441860465,"MT",0,NA,NA,0,NA,NA,NA
"WGBFAS-CODBA2532-1966-2012-CHING","CODBA2532","ICES","WGBFAS","1966-2012",2012,"VPA","XSA","Extended Survivor Analysis","multinational","Europe (EU)","Eastern Baltic","multinational-ICES-25-32","Atlantic cod Baltic Areas 25-32","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",NA,NA,NA,NA,46,148278.260869565,"MT",0,NA,NA,"tl",46,148278.260869565,"MT",47,272465.957446809,"E00",47,260578.723404255,"MT",46,409347.826086957,"MT",0,NA,NA,"yes"
"NWWG-CODFAPL-1959-2012-CHING","CODFAPL","ICES","NWWG","1959-2012",2012,"Unknown","unknown","Unknown","multinational","Europe (non-EU)","Faroe Plateau","multinational-ICES-Vb1","Atlantic cod Faroe Plateau","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",NA,NA,NA,NA,51,22529.6078431373,"MT",0,NA,NA,"tl",51,22529.6078431373,"MT",52,15297.3076923077,"E00",52,57255.7692307692,"MT",52,83015.3846153846,"MT",0,NA,NA,"yes"
"NEFSC-CODGB-1976-2011-CHING","CODGB","NMFS","NEFSC","1976-2011",2011,"Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","US East Coast","Georges Bank","USA-NMFS-5Z","Atlantic cod Georges Bank","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",28774,NA,"MT",NA,0,NA,NA,35,24136,"MT","tc",35,24136,"MT",34,14479117.6470588,"E00",34,40644.1176470588,"MT",0,NA,NA,0,NA,NA,NA
"NEFSC-CODGOM-1981-2011-CHING","CODGOM","NMFS","NEFSC","1981-2011",2011,"Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","US East Coast","Gulf of Maine","USA-NMFS-5Y","Atlantic cod Gulf of Maine","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",11592.5,NA,"MT",NA,0,NA,NA,30,9588,"MT","tc",30,9588,"MT",30,8247333.33333333,"E00",30,11008,"MT",0,NA,NA,0,NA,NA,NA
